time,TimerNodeTime,AltitudeSendTime,AltitudeRosSendTime,CurrentAltitude,CurrentAltitudeCentimeters,AltitudeReached,ServoCommanderSendTime,ServoCommanderRosSendTime,Joint1CommandPos,Joint1ActualPos,Joint2CommandPos,Joint2ActualPos,ServoJerkSendTime,ServoJerkRosSendTime,NumStrokes,JerkMessage,JerkRate,
0.20,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.40,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.60,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.80,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.00,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.20,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.40,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.60,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.80,0,16-21:25:02,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
4.20,3,16-21:25:05,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:05,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
4.40,3,16-21:25:05,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:05,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
4.60,3,16-21:25:05,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:05,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
4.80,3,16-21:25:05,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:05,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.00,4,16-21:25:05,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:05,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.20,4,16-21:25:06,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:05,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.40,4,16-21:25:06,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:05,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.60,4,16-21:25:06,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:05,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.80,4,16-21:25:06,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:05,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
6.00,5,16-21:25:06,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:07,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
6.20,5,16-21:25:07,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:07,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
6.40,5,16-21:25:07,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:07,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
6.60,5,16-21:25:07,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:07,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
6.80,5,16-21:25:07,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:07,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.00,6,16-21:25:07,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:07,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.20,6,16-21:25:08,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:07,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.40,6,16-21:25:08,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:07,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.60,6,16-21:25:08,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:07,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.80,6,16-21:25:08,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:07,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
8.00,7,16-21:25:08,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
8.20,7,16-21:25:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
8.40,7,16-21:25:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
8.60,7,16-21:25:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
8.80,7,16-21:25:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
9.00,8,16-21:25:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
9.20,8,16-21:25:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
9.40,8,16-21:25:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
9.60,8,16-21:25:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
9.80,8,16-21:25:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:09,0,8,Still jerking it (and by it I mean servos): ID-1, ,1,
10.00,9,16-21:25:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:11,0,10,Still jerking it (and by it I mean servos): ID-1, ,1,
10.20,9,16-21:25:11,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:11,0,10,Still jerking it (and by it I mean servos): ID-1, ,1,
10.40,9,16-21:25:11,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:25:11,0,10,Still jerking it (and by it I mean servos): ID-1, ,1,
0.20,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.40,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.60,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.80,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.00,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.20,0,16-21:31:32,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.40,0,16-21:31:32,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.60,0,16-21:31:32,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.80,1,16-21:31:32,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.00,1,16-21:31:32,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:33,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
2.20,1,16-21:31:33,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:33,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
2.40,1,16-21:31:33,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:33,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
2.60,1,16-21:31:33,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:33,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
2.80,2,16-21:31:33,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:33,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.00,2,16-21:31:33,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:33,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.20,2,16-21:31:34,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:33,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.40,2,16-21:31:34,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:33,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.60,2,16-21:31:34,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:33,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.80,3,16-21:31:34,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:33,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
4.00,3,16-21:31:34,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:35,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
4.20,3,16-21:31:35,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:35,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
4.40,3,16-21:31:35,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:35,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
4.60,3,16-21:31:35,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:35,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
4.80,4,16-21:31:35,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:35,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.00,4,16-21:31:35,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:35,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.20,4,16-21:31:36,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:35,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.40,4,16-21:31:36,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:35,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.60,4,16-21:31:36,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:35,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.80,5,16-21:31:36,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:35,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
6.00,5,16-21:31:36,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:37,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
6.20,5,16-21:31:37,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:37,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
6.40,5,16-21:31:37,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:37,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
6.60,5,16-21:31:37,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:37,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
6.80,6,16-21:31:37,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:37,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.00,6,16-21:31:37,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:37,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.20,6,16-21:31:38,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:37,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.40,6,16-21:31:38,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:37,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.60,6,16-21:31:38,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:37,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.80,7,16-21:31:38,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:31:37,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
0.20,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.40,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.60,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.80,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.00,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.20,0,16-21:35:48,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.40,0,16-21:35:48,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.60,0,16-21:35:48,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.80,0,16-21:35:48,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.00,1,16-21:35:48,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:49,0,1,Still jerking it (and by it I mean servos): ID-1, ,1,
2.20,1,16-21:35:49,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:49,0,1,Still jerking it (and by it I mean servos): ID-1, ,1,
2.40,1,16-21:35:49,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:49,0,1,Still jerking it (and by it I mean servos): ID-1, ,1,
2.60,1,16-21:35:49,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:49,0,1,Still jerking it (and by it I mean servos): ID-1, ,1,
2.80,1,16-21:35:49,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:49,0,1,Still jerking it (and by it I mean servos): ID-1, ,1,
3.00,2,16-21:35:49,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:49,0,1,Still jerking it (and by it I mean servos): ID-1, ,1,
3.20,2,16-21:35:50,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:49,0,1,Still jerking it (and by it I mean servos): ID-1, ,1,
3.40,2,16-21:35:50,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:49,0,1,Still jerking it (and by it I mean servos): ID-1, ,1,
3.60,2,16-21:35:50,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:49,0,1,Still jerking it (and by it I mean servos): ID-1, ,1,
3.80,2,16-21:35:50,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:49,0,1,Still jerking it (and by it I mean servos): ID-1, ,1,
4.00,3,16-21:35:50,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:51,0,3,Still jerking it (and by it I mean servos): ID-1, ,1,
4.20,3,16-21:35:51,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:51,0,3,Still jerking it (and by it I mean servos): ID-1, ,1,
4.40,3,16-21:35:51,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:51,0,3,Still jerking it (and by it I mean servos): ID-1, ,1,
4.60,3,16-21:35:51,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:51,0,3,Still jerking it (and by it I mean servos): ID-1, ,1,
4.80,3,16-21:35:51,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:51,0,3,Still jerking it (and by it I mean servos): ID-1, ,1,
5.00,4,16-21:35:51,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:51,0,3,Still jerking it (and by it I mean servos): ID-1, ,1,
5.20,4,16-21:35:52,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:51,0,3,Still jerking it (and by it I mean servos): ID-1, ,1,
5.40,4,16-21:35:52,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:51,0,3,Still jerking it (and by it I mean servos): ID-1, ,1,
5.60,4,16-21:35:52,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:51,0,3,Still jerking it (and by it I mean servos): ID-1, ,1,
5.80,4,16-21:35:52,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:51,0,3,Still jerking it (and by it I mean servos): ID-1, ,1,
6.00,5,16-21:35:52,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
6.20,5,16-21:35:53,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
6.40,5,16-21:35:53,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
6.60,5,16-21:35:53,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
6.80,5,16-21:35:53,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
7.00,6,16-21:35:53,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
7.20,6,16-21:35:54,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
7.40,6,16-21:35:54,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
7.60,6,16-21:35:54,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
7.80,6,16-21:35:54,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:53,0,5,Still jerking it (and by it I mean servos): ID-1, ,1,
8.00,7,16-21:35:54,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:55,0,7,Still jerking it (and by it I mean servos): ID-1, ,1,
8.20,7,16-21:35:55,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:55,0,7,Still jerking it (and by it I mean servos): ID-1, ,1,
8.40,7,16-21:35:55,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:55,0,7,Still jerking it (and by it I mean servos): ID-1, ,1,
8.60,7,16-21:35:55,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:35:55,0,7,Still jerking it (and by it I mean servos): ID-1, ,1,
0.20,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.40,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.60,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
0.80,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.00,0,starting,0,0,0,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.20,0,16-21:41:06,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.40,0,16-21:41:06,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.60,0,16-21:41:06,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
1.80,0,16-21:41:06,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,starting,0,0,starting,0,
2.00,1,16-21:41:06,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:06,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
2.20,1,16-21:41:07,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:06,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
2.40,1,16-21:41:07,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:06,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
2.60,1,16-21:41:07,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:06,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
2.80,1,16-21:41:07,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:06,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.00,2,16-21:41:07,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:06,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.20,2,16-21:41:08,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:06,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.40,2,16-21:41:08,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:06,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.60,2,16-21:41:08,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:06,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
3.80,2,16-21:41:08,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:06,0,2,Still jerking it (and by it I mean servos): ID-1, ,1,
4.00,3,16-21:41:08,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:08,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
4.20,3,16-21:41:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:08,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
4.40,3,16-21:41:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:08,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
4.60,3,16-21:41:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:08,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
4.80,3,16-21:41:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:08,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.00,4,16-21:41:09,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:08,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.20,4,16-21:41:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:08,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.40,4,16-21:41:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:08,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.60,4,16-21:41:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:08,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
5.80,4,16-21:41:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:08,0,4,Still jerking it (and by it I mean servos): ID-1, ,1,
6.00,5,16-21:41:10,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:10,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
6.20,5,16-21:41:11,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:10,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
6.40,5,16-21:41:11,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:10,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
6.60,5,16-21:41:11,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:10,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
6.80,5,16-21:41:11,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:10,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.00,6,16-21:41:11,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:10,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.20,6,16-21:41:12,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:10,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.40,6,16-21:41:12,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:10,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.60,6,16-21:41:12,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:10,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
7.80,6,16-21:41:12,1.73179e+09,32290.2,984206,0,starting,0,0,0,0,0,16-21:41:10,0,6,Still jerking it (and by it I mean servos): ID-1, ,1,
